연도,시도명,시군구명,축제명,개최기간,주최/주관,최초개최년도,예산합계,국비,지방비,기타,축제종류,조직형태,방문객수합계,내국인,외국인,개최장소,개최방식
2023,경기도,안성시,안성맞춤 남사당 바우덕이 축제,9월 말~10월 초,안성맞춤 남사당 바우덕이 축제위원회,2001,1860,30,15.0,1815.0,문화예술,위원회,3.0,3.0,0.0,안성맞춤랜드,대면
2023,경기도,안성시,안성맞춤포도축제,9월 중,안성맞춤포도축제위원회,2007,50,0,0.0,50.0,특산물,비영리법인,120.0,120.0,0.0,서운면 일원,대면
2023,경기도,안성시,죽주대고려문화축제,9월 말~10월 초,죽주대고려문화축제위원회,2004,50,0,0.0,50.0,전통역사,재단법인,0.0,0.0,0.0,동안성시민복지센터 일원,대면
2023,경기도,포천시,포천 시민의날 축제,2023. 10.,축제추진위원회,2003,260,0,260.0,0.0,기타(주민화합 등),위원회,0.0,0.0,0.0,포천종합운동장,대면
2023,경기도,포천시,포천 산정호수 명성산 억새꽃 축제,2023. 10.13.~10. 29.,포천문화재단,1997,200,0,200.0,0.0,생태자연,재단법인,100.2,100.0,0.2,산정호수,혼합형
2023,경기도,포천시,백운계곡 동장군 축제,23.12.23.~24.2.4.,축제추진위원회,2003,70,0,70.0,0.0,생태자연,위원회,82.0,82.0,0.0,도리돌마을,대면
2023,경기도,포천시,포천아트밸리 축제,2023. 5.,-,2023,250,0,250.0,0.0,문화예술,-,121.0,121.0,0.0,포천아트밸리,대면
2023,경기도,포천시,포천 시민의날 축제,2023. 10.,축제추진위원회,2003,260,0,260.0,0.0,기타(주민화합 등),위원회,30.0,30.0,0.0,포천종합운동장,대면
2023,경기도,포천시,한탄강 지오페스티벌 개최,2023. 6.,-,2017,280,0,280.0,0.0,"문화예술, 생태 자연",-,11.0,11.0,0.0,,대면
2023,경기도,의왕시,의왕철도축제,05. 05.~05. 06.,의왕시축제추진위원회,2002,288,0,288.0,0.0,기타(주민화합 등),위원회,300.0,300.0,0.0,"의왕 왕송호수 공원, 철도박물관 등",대면
2023,경기도,의왕시,의왕백운호수축제,9월 중(2일간),의왕시축제추진위원회,2001,280,0,280.0,0.0,기타(주민화합 등),위원회,35.0,35.0,0.0,의왕 백운호수 주차장,대면
2023,경기도,의왕시,의왕왕송호수 겨울축제,23. 12월~24. 1월 중(20일간),의왕시축제추진위원회,2016,150,0,150.0,0.0,기타(주민화합 등),위원회,0.0,0.0,0.0,의왕 왕송호수 공원,대면
2023,경기도,여주시,제35회 여주도자기축제,05.19~29.,여주세종문화관광재단,1990,940,0,940.0,0.0,특산물,재단법인,0.0,0.0,0.0,신륵산관광단지,대면
2023,경기도,여주시,2023 여주오곡나루축제,10. 20. ~22.(예정),여주세종문화관광재단,1998,1060,30,1030.0,0.0,특산물,재단법인,10.0,10.0,0.0,신륵산관광단지,대면
2023,경기도,여주시,제3회 선비장터축제,10.14.~10.15.,가남축제추진위원회,2018,103,0,102.5,0.0,"특산물, 주민화합",민간,6.0,5.0,1.0,가남읍 태평리 대신천변 일원,대면
2023,경기도,여주시,제17회 금사참외축제,05.26.~05.28.,금사참외축제 추진위원회,2006,197,0,130.0,67.0,특산물,,46.0,46.0,0.0,금사근린공원 일원,대면
2023,경기도,여주시,제18회 산북품실축제,10.27.~10.28.(예정),산북품실축제위원회,2004,50,0,50.0,0.0,전통역사,비영리법인,300.0,300.0,0.0,"산북면
체육공원",대면
2023,경기도,여주시,제7회여주흥천남한강벚꽃축제,04.07~04.09,,2017,100,0,100.0,0.0,생태자연,,6.0,6.0,0.0,"벚꽃축제장
귀백리 산7번지일원",대면
2023,경기도,양평군,제24회 양평단월고로쇠축제,3.18.~3.19.,양평단월고로쇠축제추진위원회,1999,120,0,120.0,0.0,특산물,위원회,152.0,152.0,0.0,단월레포츠공원,혼합형
2023,경기도,양평군,제6회 갈산누리봄축제,4월 중,갈산누리봄축제추진위원회,2017,50,0,30.0,20.0,"문화예술, 생태자연",위원회,3.0,2.0,1.0,양평생활체육공원,대면
2023,경기도,양평군,제19회 양평 산수유 한우 축제,4.1.~4.2.,양평산수유?한우축제추진위원회,2004,120,0,120.0,0.0,생태자연,위원회,3.0,3.0,0.0,개군면 레포츠공원,대면
2023,경기도,양평군,제12회 용문산 산나물 축제,4.28.~4.30.,양평군 축제추진위원회,2008,600,0,600.0,0.0,특산물,위원회,0.0,0.0,0.0,용문산 관광지,혼합형
2023,경기도,양평군,제13회 양평 용문산 산나물축제(용문역 일원),5.5.~5.7.,용문면산나물축제추진위원회,2008,130,0,130.0,0.0,특산물,위원회,500.0,500.0,0.0,용문역,혼합형
2023,경기도,양평군,제9회 양평 워터워 페스티벌(양평 물축제),7월중,옥천면물축제추진위원회,2012,120,0,120.0,0.0,기타(주민화합 등),위원회,150.0,150.0,0.0,옥천면 레포츠공원 및 사탄천 일원,대면
